Relative Path,Name,Grouping Var,CONTROL
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_004_S478686_214146_Homozygous_treated_with_saline.raw,214146,Homozygous treated with saline,C
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_007_S478695_214224_Homozygous_treated_with_mEIF2B5.raw,214224,Homozygous treated with mEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_010_S478693_213633_Homozygous_treated_with_hEIF2B5.raw,213633,Homozygous treated with hEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_017_S478696_213775_Homozygous_treated_with_mEIF2B5.raw,213775,Homozygous treated with mEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_003_S478701_214135_Heterozygous_treated_with_saline.raw,214135,Heterozygous treated with saline,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_023_S478697_213649_Homozygous_treated_with_hEIF2B5.raw,213649,Homozygous treated with hEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_002_S478702_213773_Homozygous_treated_with_mEIF2B5.raw,213773,Homozygous treated with mEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_020_S478685_214154_Homozygous_treated_with_saline.raw,214154,Homozygous treated with saline,C
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_005_S478691_214448_Heterozygous_treated_with_saline.raw,214448,Heterozygous treated with saline,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_009_S478688_214142_Heterozygous_treated_with_saline.raw,214142,Heterozygous treated with saline,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_022_S478694_213061_Homozygous_treated_with_mEIF2B5.raw,213061,Homozygous treated with mEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_013_S478687_213060_Homozygous_treated_with_mEIF2B5.raw,213060,Homozygous treated with mEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_014_S478689_214563_Homozygous_treated_with_hEIF2B5.raw,214563,Homozygous treated with hEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_018_S478700_214153_Homozygous_treated_with_saline.raw,214153,Homozygous treated with saline,C
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_008_S478699_213657_Homozygous_treated_with_hEIF2B5.raw,213657,Homozygous treated with hEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_012_S478692_213616_Homozygous_treated_with_hEIF2B5.raw,213616,Homozygous treated with hEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_015_S478698_213045_Homozygous_treated_with_mEIF2B5.raw,213045,Homozygous treated with mEIF2B5,T
p31078/Proteomics/LUMOS_2/analytic_20230315/20230315_C31078_019_S478690_214555_Homozygous_treated_with_hEIF2B5.raw,214555,Homozygous treated with hEIF2B5,T
