Relative.Path,Name,Tmp,Group,Control
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_025_S415615_EVP18_Control.raw,EVP18,M130219,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_017_S415617_EVP20_Treated.raw,EVP20,M130219,MEK162,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_022_S415607_EVP10_Control.raw,EVP10,M130219,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_008_S415606_EVP9_Control_20221013085725.raw,EVP9,M130219,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_012_S415608_EVP11_Treated.raw,EVP11,M130219,MEK162,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_018_S415614_EVP17_Control.raw,EVP17,M130219,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_016_S415616_EVP19_Control.raw,EVP19,M130219,DMSO,C
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_019_S415618_EVP21_Treated.raw,EVP21,M130219,MEK162,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_010_S415609_EVP12_Treated.raw,EVP12,M130219,MEK162,T
p29661/Proteomics/LUMOS_2/analytic_20221012/20221012_C29661_002_S415619_EVP22_Treated.raw,EVP22,M130219,MEK162,T
