Relative Path,Name,Grouping Var,CONTROL
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_014_S434894_262-ANK_GVBD.raw,262-ANK,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_023_S434891_227-STC_GVBD.raw,227-STC,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_018_S434885_144-LAS_MII.raw,144-LAS,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_011_S434892_228-MEM_GVBD.raw,228-MEM,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_007_S434893_280-DEE_GVBD.raw,280-DEE,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_003_S434883_170-ANM_MII.raw,170-ANM,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_012_S434880_220-CHR_MII.raw,220-CHR,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_016_S434895_48-LAC_GV.raw,48-LAC,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_013_S434899_289-NEV_GV.raw,289-NEV,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_024_S434898_268-PRG_GV.raw,268-PRG,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_021_S434881_128-ANM_MII.raw,128-ANM,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_008_S434896_126-YVM_GV.raw,126-YVM,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_004_S434886_129-ASK_MII.raw,129-ASK,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_015_S434882_111-LES_MII.raw,111-LES,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_006_S434890_39-JAK_GVBD.raw,39-JAK,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_019_S434884_116-HEM_MII.raw,116-HEM,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_020_S434889_64-MEB_MII.raw,64-MEB,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_010_S434887_119-LEL_MII.raw,119-LEL,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_005_S434888_296-CLA_MII.raw,296-CLA,MII,C
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_022_S434897_238-MAK_GV.raw,238-MAK,GV_BD,T
p30256/Proteomics/LUMOS_2/analytic_20221214/20221214_C30256_002_S434879_256-ESH_MII.raw,256-ESH,MII,C
